X(m),Y(m)
0.00022,-4.1402E-06
0.000221,-4.33114E-06
0.000222,-4.39324E-06
0.000223,-5.06697E-06
0.000224,-6.37792E-06
0.000225,-6.41768E-06
0.000226,-8.13331E-06
0.000227,-9.24236E-06
0.000228,-9.89783E-06
0.000229,-9.89572E-06
0.00023,-9.88227E-06
0.000231,-9.88428E-06
0.000232,-9.84119E-06
0.000233,-9.55203E-06
0.000234,-8.8044E-06
0.000235,-4.43478E-06
0.000236,-1.71677E-06
0.000237,2.5115E-07
0.000238,2.20787E-06
0.000239,4.11095E-06
0.00024,5.28844E-06
0.000241,6.07242E-06
0.000242,6.17677E-06
0.000243,5.8128E-06
0.000244,5.36134E-06
0.000245,4.2623E-06
0.000246,2.72971E-06
0.000247,1.0649E-06
0.000248,1.04745E-06
0.000249,5.10216E-07
0.00025,1.82043E-07
0.000251,-1.11933E-06
0.000252,-1.02346E-06
0.000253,-6.49688E-07
0.000254,-1.29012E-06
0.000255,-6.47943E-07
0.000256,2.19382E-07
0.000257,5.50738E-07
0.000258,2.3171E-06
0.000259,3.00412E-06
0.00026,3.0567E-06
0.000261,3.1372E-06
0.000262,3.06913E-06
0.000263,2.13727E-06
0.000264,1.8224E-06
0.000265,1.46895E-06
0.000266,6.03091E-07
0.000267,1.493E-06
0.000268,1.8741E-06
0.000269,1.98026E-06
0.00027,1.76909E-06
0.000271,1.90377E-06
0.000272,1.1238E-06
0.000273,9.73244E-07
0.000274,1.01211E-06
0.000275,1.2566E-06
0.000276,1.09056E-06
0.000277,4.44178E-07
0.000278,6.71128E-07
0.000279,8.91699E-07
0.00028,1.52778E-06
0.000281,9.08509E-07
0.000282,2.79727E-06
0.000283,2.20626E-06
0.000284,2.38985E-06
0.000285,2.26092E-06
0.000286,2.65016E-06
0.000287,3.68206E-06
0.000288,3.84062E-06
0.000289,6.17863E-06
0.00029,7.27133E-06
0.000291,1.01539E-05
0.000292,1.22077E-05
0.000293,1.4636E-05
0.000294,1.44406E-05
0.000295,1.40806E-05
0.000296,1.41579E-05
0.000297,1.40595E-05
0.000298,1.40754E-05
0.000299,1.37375E-05
0.0003,1.31844E-05
0.000301,1.24414E-05
0.000302,1.16667E-05
0.000303,1.14211E-05
0.000304,1.20909E-05
0.000305,1.11211E-05
0.000306,9.84397E-06
0.000307,8.89948E-06
0.000308,6.95814E-06
0.000309,6.60398E-06
0.00031,6.90032E-06
0.000311,7.49878E-06
0.000312,7.53261E-06
0.000313,9.05782E-06
0.000314,9.12775E-06
0.000315,8.82305E-06
0.000316,9.22433E-06
0.000317,9.41392E-06
0.000318,9.20446E-06
0.000319,8.90589E-06
0.00032,9.20913E-06
0.000321,8.63254E-06
0.000322,8.24321E-06
0.000323,7.18075E-06
0.000324,5.65486E-06
0.000325,5.045E-06
0.000326,4.72035E-06
0.000327,5.04932E-06
0.000328,3.94753E-06
0.000329,3.35345E-06
0.00033,1.73535E-06
0.000331,1.89704E-06
0.000332,1.51118E-06
0.000333,3.37622E-07
0.000334,-5.7818E-07
0.000335,-1.07126E-06
0.000336,-5.4627E-07
0.000337,-1.27674E-06
0.000338,-1.4301E-06
0.000339,-1.37931E-06
0.00034,-1.39521E-06
0.000341,-1.0875E-06
0.000342,-7.98696E-07
0.000343,-9.99361E-07
0.000344,2.21361E-07
0.000345,4.94711E-07
0.000346,1.74331E-06
0.000347,1.20912E-06
0.000348,2.04864E-06
0.000349,2.3296E-06
0.00035,3.28138E-06
0.000351,4.18962E-06
0.000352,5.1156E-06
0.000353,5.07597E-06
0.000354,5.89004E-06
0.000355,5.4433E-06
0.000356,5.69241E-06
0.000357,5.66184E-06
0.000358,5.31461E-06
0.000359,4.17072E-06
0.00036,3.43288E-06
0.000361,2.32632E-06
0.000362,1.61444E-06
0.000363,1.80683E-06
0.000364,1.26423E-06
0.000365,1.93915E-06
0.000366,2.65493E-06
0.000367,3.86799E-06
0.000368,3.27352E-06
0.000369,3.33458E-06
0.00037,2.64787E-06
0.000371,1.73262E-06
0.000372,1.35637E-06
0.000373,2.89152E-06
0.000374,2.64543E-06
0.000375,2.50351E-06
0.000376,3.88736E-06
0.000377,4.28817E-06
0.000378,6.37285E-06
0.000379,6.88588E-06
0.00038,8.03832E-06
0.000381,8.4765E-06
0.000382,9.0235E-06
0.000383,9.00466E-06
0.000384,8.4286E-06
0.000385,8.62606E-06
0.000386,7.79242E-06
0.000387,6.77822E-06
0.000388,5.57733E-06
0.000389,6.3819E-06
0.00039,5.43607E-06
0.000391,5.22252E-06
0.000392,4.82507E-06
0.000393,3.85635E-06
0.000394,1.99136E-06
0.000395,-4.83124E-07
0.000396,-7.76941E-07
0.000397,-1.47967E-06
0.000398,-1.77412E-06
0.000399,-2.02245E-06
0.0004,-3.31671E-06
0.000401,-4.60591E-06
0.000402,-5.01599E-06
0.000403,-5.29343E-06
0.000404,-5.57073E-06
0.000405,-5.60261E-06
0.000406,-5.28722E-06
0.000407,-5.52542E-06
0.000408,-5.576E-06
0.000409,-6.21843E-06
0.00041,-6.34837E-06
0.000411,-6.27015E-06
0.000412,-6.54154E-06
0.000413,-6.06367E-06
0.000414,-6.29036E-06
0.000415,-5.26789E-06
0.000416,-4.37111E-06
0.000417,3.99044E-07
0.000418,2.15531E-06
0.000419,2.84015E-06
0.00042,4.32032E-06
0.000421,4.58304E-06
0.000422,3.80396E-06
0.000423,4.83932E-06
0.000424,4.76564E-06
0.000425,5.20606E-06
0.000426,5.37153E-06
0.000427,4.48036E-06
0.000428,4.53306E-06
0.000429,3.36846E-06
0.00043,2.82742E-06
0.000431,2.43929E-06
0.000432,1.12298E-06
0.000433,1.46387E-06
0.000434,2.0345E-06
0.000435,2.92588E-06
0.000436,2.51622E-06
0.000437,2.55342E-06
0.000438,2.69075E-06
0.000439,3.11623E-06
0.00044,2.29805E-06
0.000441,1.57202E-06
0.000442,-1.11435E-07
0.000443,-7.399E-07
0.000444,-2.15785E-06
0.000445,-3.58299E-06
0.000446,-4.3619E-06
0.000447,-5.1582E-06
0.000448,-5.53516E-06
0.000449,-5.52961E-06
0.00045,-5.47293E-06
0.000451,-5.52257E-06
0.000452,-5.22225E-06
0.000453,-5.52753E-06
0.000454,-5.49711E-06
0.000455,-5.80092E-06
0.000456,-6.08796E-06
0.000457,-5.00899E-06
0.000458,-4.60785E-06
0.000459,-4.43127E-06
0.00046,-4.33016E-06
0.000461,-4.62784E-06
0.000462,-4.31686E-06
0.000463,-4.37927E-06
0.000464,-3.54974E-06
0.000465,-3.13363E-06
0.000466,-2.565E-06
0.000467,-2.44604E-06
0.000468,-3.37987E-06
0.000469,-3.56907E-06
0.00047,-4.66737E-06
0.000471,-6.17229E-06
0.000472,-5.01374E-06
0.000473,-7.55566E-06
0.000474,-7.26842E-06
0.000475,-6.94839E-06
0.000476,-6.5866E-06
0.000477,-6.90838E-06
0.000478,-6.8838E-06
0.000479,-6.2778E-06
0.00048,-6.89883E-06
0.000481,-5.58329E-06
0.000482,-5.06103E-06
0.000483,-4.49456E-06
0.000484,-1.97766E-06
0.000485,2.17385E-07
0.000486,3.42234E-06
0.000487,5.0304E-06
0.000488,6.4413E-06
0.000489,7.45027E-06
0.00049,7.73621E-06
0.000491,7.26581E-06
0.000492,7.33229E-06
0.000493,7.46269E-06
0.000494,7.24698E-06
0.000495,7.96417E-06
0.000496,8.10154E-06
0.000497,7.84778E-06
0.000498,7.82812E-06
0.000499,6.35076E-06
0.0005,5.52712E-06
0.000501,4.08927E-06
0.000502,2.60371E-06
0.000503,1.06911E-06
0.000504,5.35876E-07
0.000505,9.90441E-07
0.000506,1.55443E-07
0.000507,-7.19684E-07
0.000508,-7.58583E-07
0.000509,-8.82139E-07
0.00051,-4.27334E-07
0.000511,-8.21422E-07
0.000512,-6.58281E-08
0.000513,1.68172E-06
0.000514,2.73534E-06
0.000515,3.34965E-06
0.000516,3.67352E-06
0.000517,3.38217E-06
0.000518,2.92523E-06
0.000519,2.85165E-06
0.00052,1.61181E-06
0.000521,1.72429E-06
0.000522,2.28644E-06
0.000523,1.95946E-06
0.000524,3.23852E-06
0.000525,3.33434E-06
0.000526,3.35179E-06
0.000527,3.36676E-06
0.000528,3.66259E-06
0.000529,3.73752E-06
0.00053,3.31592E-06
0.000531,4.64864E-06
0.000532,5.31734E-06
0.000533,5.50214E-06
0.000534,6.9617E-06
0.000535,8.53314E-06
0.000536,1.05682E-05
0.000537,1.13249E-05
0.000538,1.13998E-05
0.000539,1.20103E-05
0.00054,1.13349E-05
0.000541,1.14062E-05
0.000542,1.11633E-05
0.000543,1.09027E-05
0.000544,1.13713E-05
0.000545,1.10747E-05
0.000546,1.10808E-05
0.000547,1.14502E-05
0.000548,1.15203E-05
0.000549,1.14942E-05
0.00055,1.11184E-05
0.000551,1.10947E-05
0.000552,9.4347E-06
0.000553,7.27914E-06
0.000554,6.35181E-06
0.000555,4.68077E-06
0.000556,2.88728E-06
0.000557,1.41842E-06
0.000558,8.02883E-07
0.000559,8.0731E-07
0.00056,7.66728E-07
0.000561,3.11295E-06
0.000562,2.9799E-06
0.000563,4.32653E-06
0.000564,4.3825E-06
0.000565,4.15526E-06
0.000566,2.27721E-06
0.000567,1.11799E-06
0.000568,-1.91498E-07
0.000569,-4.17875E-07
0.00057,-1.95194E-07
0.000571,3.44517E-07
0.000572,7.78693E-07
0.000573,-3.3811E-07
0.000574,-2.86054E-07
0.000575,-5.99249E-07
0.000576,-1.35771E-06
0.000577,-1.28254E-06
0.000578,-2.46587E-06
0.000579,-2.25889E-06
0.00058,-2.14846E-06
0.000581,-1.79612E-06
0.000582,-1.09994E-06
0.000583,3.65856E-07
0.000584,1.1522E-06
0.000585,4.44053E-06
0.000586,5.04345E-06
0.000587,6.01521E-06
0.000588,6.47827E-06
0.000589,7.28615E-06
0.00059,7.55031E-06
0.000591,7.09973E-06
0.000592,6.3573E-06
0.000593,7.22405E-06
0.000594,5.57003E-06
0.000595,6.28834E-06
0.000596,5.2054E-06
0.000597,4.76457E-06
0.000598,4.45216E-06
0.000599,4.36731E-06
0.0006,3.12676E-06
